drawing,model,tier,score,page_idx,pdf_path
207-35987,PMX-12000,0,41,1,"Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\207-35987_A191a_WEIGHT.pdf"
207-35988,共通,2,-10000,,"Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\207-35988_A191b_WEIGHT.pdf"
,共通,2,-10000,,"Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\工程表_207-35987_A191A_WEIGHT.pdf"
,共通,2,-10000,,"Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\工程表_207-35988_A191B_WEIGHT.pdf"
209-36726,PO,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-36726_A128_FLYWHEEL SUPPORT\209-36726 A128 FLYWHEEL SUPPORT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-36726_A128_FLYWHEEL SUPPORT\一次加工図 209-36726 A128 FLYWHEEL SUPPORT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-36726_A128_FLYWHEEL SUPPORT\工程表 209-36726 A128 FLYWHEEL SUPPORT.pdf
209-43161,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-43161_A-170_CLUTCH HUB\209-43161_A170_CLUTCH HUB.pdf
209-43161,OWG,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-43161_A-170_CLUTCH HUB\209-43161_A170一次加工図.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-43161_A-170_CLUTCH HUB\工程表.pdf
209-51360,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\209-51360 A110 DRIVE SHAFT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\一次加工図209-51360 A110 DRIVE SHAFT (1).pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\一次加工図209-51360 A110 DRIVE SHAFT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\工程表 209-51360 A110 DRIVE SHAFT.pdf
213-01647,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01647_C-008_HUB_AE070003-00\213-01647_C008_HUB.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01647_C-008_HUB_AE070003-00\一次加工図_362-01468_C008_HUB.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01647_C-008_HUB_AE070003-00\工程表_213-01647_C008_HUB.pdf
213-01648,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01648_D-008_HUB_AE070004-00\213-01648_D008_HUB.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01648_D-008_HUB_AE070004-00\一次加工図_362-01469_D008_HUB.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01648_D-008_HUB_AE070004-00\工程表_213-01648_D008_HUB.pdf
213-08859,C-008,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-08859_C-008_P RING\213-08859 C008 P RING.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-08859_C-008_P RING\工程表 213-08859 C008 P RTING.pdf
213-09366,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-09366_C-019_CLUTCH SHAFT\213-09366_C-019.pdf
213-09366,P-0147,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-09366_C-019_CLUTCH SHAFT\213-09366_C-019_工程表.pdf
213-10497,C-378/317,0,41,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-10497_C-014_FLYWHEEL SUPPORT\213-10497_C014_FLYWHEEL SUPPORT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-10497_C-014_FLYWHEEL SUPPORT\工程表_213-10497_C014_FLYWHEEL SUPPORT.pdf
213-11149,C-019,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-11149_C-019_CLUTCH SHAFT\213-11149.pdf
213-11149,C-019,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-11149_C-019_CLUTCH SHAFT\213-11149_工程表.pdf
304-41476,ONG,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\304-41476_A133_PIN\304-41476 A133 PIN.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\304-41476_A133_PIN\工程表 304-41476 A133 PIN.pdf
306-37879,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\306-37879_M-118_WEIGHT\306-37879_M118_WEIGHT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\307-10268_C-004_HUB\20250127145708375.pdf
309-42810,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-42810_A-211_SPACER\309-42810_A211_SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-42810_A-211_SPACER\工程表_309-42810_A211_SPACER.pdf
309-46619,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-46619_A-126_RETAINER\309-46619 A126 RETAINER.pdf
