drawing,model,tier,score,page_idx,pdf_path
207-35987,PMX-12000,0,41,1,"Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\207-35987_A191a_WEIGHT.pdf"
207-35988,PMX-12000,0,41,1,"Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\207-35988_A191b_WEIGHT.pdf"
209-36726,NU1088,1,35,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-36726_A128_FLYWHEEL SUPPORT\209-36726 A128 FLYWHEEL SUPPORT.pdf
209-43161,V-350A,0,41,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-43161_A-170_CLUTCH HUB\209-43161_A170_CLUTCH HUB.pdf
209-43161,A-170,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-43161_A-170_CLUTCH HUB\209-43161_A170一次加工図.pdf
209-51360,TMX-6000,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\209-51360 A110 DRIVE SHAFT.pdf
213-01647,PLA-150,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01647_C-008_HUB_AE070003-00\213-01647_C008_HUB.pdf
213-01648,P-150,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01648_D-008_HUB_AE070004-00\213-01648_D008_HUB.pdf
213-08859,C-008,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-08859_C-008_P RING\213-08859 C008 P RING.pdf
213-09366,SO00-08,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-09366_C-019_CLUTCH SHAFT\213-09366_C-019.pdf
213-09366,P-0147,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-09366_C-019_CLUTCH SHAFT\213-09366_C-019_工程表.pdf
